Supplier_Number,Supplier_ID,DWR_ID,Supplier_Name,2023_Eto_inches,2023_Total_Precipitation_inches,2023_Effective_Precipitation_inches
360,TEMESCALVALL360,1408,Temescal Valley Water District,51.69,22.59,5.65
361,THOUSANDOAKS361,2469,Thousand Oaks City Of,48.97,29.91,7.48
362,TORRANCECITY362,2487,Torrance City Of,44.84,24.91,6.23
363,TRABUCOCANYO363,2490,Trabuco Canyon Water District,47.4,30.63,7.66
364,TRACYCITYOFW364,2496,Tracy City Of,50.45,18.01,4.5
365,OAKPARKWATER365,2510,Triunfo Sanitation District/Oak Park Water Service,49.21,32.44,7.96
366,TRUCKEEDONNE366,2512,Truckee - Donner Public Utilities District,46,49.91,10.59
367,TULARECITYOF367,2516,Tulare City Of,56.97,17.63,4.41
368,TUOLUMNEUTIL368,2523,Tuolumne Utilities District,48.59,59.26,8.78
369,TURLOCKCITYO369,2524,Turlock City Of,52.57,21.22,5.3
370,TUSTINCITYOF370,2528,Tustin City Of,47.21,23.49,5.87
371,TWENTYNINEPA371,2530,Twentynine Palms Water District,72.78,3.35,0.84
372,UKIAHCITYOFW372,2536,Ukiah City Of,46.7,50.63,8.98
373,UPLANDCITYOF373,2541,Upland City Of,54.57,34.93,7.11
374,VACAVILLECIT374,2597,Vacaville City Of,52.04,37.03,8.73
375,VALENCIAWATE375,4993,Valencia Water Company,56.95,28.63,7.16
376,VALLECITOSWA376,2602,Vallecitos Water 0istrict,49.12,25.35,6.34
377,VALLEJOCITYO377,2603,Vallejo City Of,46.58,35.05,8.47
378,VALLEYCENTER378,2604,Valley Center Municipal Water District,52.54,28.75,7.19
379,VALLEYCOUNTY379,2605,Valley County Water District,52.75,29.64,7.41
380,VALLEYOFTHEM380,2610,Valley Of The Moon Water District,44.62,45.57,8.71
381,VALLEYWATERC381,2618,Valley Water Company,51.92,39.89,9.53
382,VAUGHNWATERC382,2626,Vaughn Water Company,58.56,11.78,2.95
383,MOORPARKVENT383,2629,Ventura County Waterworks District No 01-  Moorpark,50.77,30.1,7.52
384,SIMIVALLEYVE384,2631,Ventura County Waterworks District No 08 - Simi Valley,51.15,29.88,7.47
386,VICTORVILLEW386,2635,Victorville Water District,62.11,6.84,1.71
387,VISTAIRRIGAT387,2649,Vista Irrigation District,54.98,30.5,7.62
388,WALNUTVALLEY388,2661,Walnut Valley Water District,51.61,28.73,7.18
389,WASCOCITYOFW389,2662,Wasco City Of,57.24,12.36,3.09
390,WATSONVILLEC390,2669,Watsonville City Of,40.96,44.63,9.21
391,WESTKERNWATE391,2679,West Kern Water District,55.76,12.3,3.07
392,WESTSACRAMEN392,2683,West Sacramento City Of,56.02,26.47,6.62
393,WESTVALLEYWA393,2690,West Valley Water District,57.27,29.28,7.16
394,WESTBOROUGHC394,2691,Westborough Water District,35.82,43.09,9.08
395,WESTERNMUNIC395,2697,Western Municipal Water District Of Riverside,53.54,17.13,4.28
396,WESTMINISTER396,2704,Westminister City Of,45.5,21.46,5.37
397,WHITTIERCITY397,2723,Whittier City Of,49.56,25.72,6.43
398,WINDSORTOWNO398,2751,Windsor Town Of,43.78,48.7,8.52
399,WOODLANDCITY399,2766,Woodland City Of,55.48,28.76,7.19
400,YORBALINDAWA400,2782,Yorba Linda Water District,50.46,25.24,6.31
401,CITYOFYREKAW401,2789,Yreka City Of,46.13,18.29,4.57
402,YUBACITYWATE402,2790,Yuba City,54.37,28.59,7.15
403,YUCAIPAVALLE403,2793,Yucaipa Valley Water District,58.11,24.76,6.19
404,CASITASCITYC404,495,Casitas Municipal Water District,46.91,43.21,8.22
